sequence_number,sequence,complete,length,id,document_name,link,sequences
1,pu-ru-[?]-ta,False,4,1,VOL X 2,https://liber.cnr.it/tablet/view/1,1
1,e-ri-sa-ta,True,4,3,VOL X 2,https://liber.cnr.it/tablet/view/3,3
2,M,True,1,3,VOL X 2,https://liber.cnr.it/tablet/view/3,3
3,1,True,1,3,VOL X 2,https://liber.cnr.it/tablet/view/3,3
1,me-ri,False,2,4,VOL X 2,https://liber.cnr.it/tablet/view/4,1
1,da-so,True,2,5,VOL X 2,https://liber.cnr.it/tablet/view/5,4
2,SA,True,1,5,VOL X 2,https://liber.cnr.it/tablet/view/5,4
3,M,True,1,5,VOL X 2,https://liber.cnr.it/tablet/view/5,4
4,1,True,1,5,VOL X 2,https://liber.cnr.it/tablet/view/5,4
1,a-na-ka,False,3,6,VOL X 2,https://liber.cnr.it/tablet/view/6,2
2,M,False,1,6,VOL X 2,https://liber.cnr.it/tablet/view/6,2
1,to-so,True,2,9,VOL X 2,https://liber.cnr.it/tablet/view/9,5
2,a-pu-do-so-mo,True,5,9,VOL X 2,https://liber.cnr.it/tablet/view/9,5
3,a-mi-ni-so,True,4,9,VOL X 2,https://liber.cnr.it/tablet/view/9,5
4,M,True,1,9,VOL X 2,https://liber.cnr.it/tablet/view/9,5
5,20,True,1,9,VOL X 2,https://liber.cnr.it/tablet/view/9,5
1,di-mi-zo,False,3,10,VOL X 2,https://liber.cnr.it/tablet/view/10,1
1,qa-ra-su-ti-jo,True,5,11,VOL X 2,https://liber.cnr.it/tablet/view/11,2
2,M,True,1,11,VOL X 2,https://liber.cnr.it/tablet/view/11,2
1,si-da-jo,True,3,12,VOL X 2,https://liber.cnr.it/tablet/view/12,3
2,M,True,1,12,VOL X 2,https://liber.cnr.it/tablet/view/12,3
3,1,True,1,12,VOL X 2,https://liber.cnr.it/tablet/view/12,3
1,M,True,1,13,VOL X 2,https://liber.cnr.it/tablet/view/13,12
2,RI,True,1,13,VOL X 2,https://liber.cnr.it/tablet/view/13,12
3,8,True,1,13,VOL X 2,https://liber.cnr.it/tablet/view/13,12
4,O,True,1,13,VOL X 2,https://liber.cnr.it/tablet/view/13,12
5,M,True,1,13,VOL X 2,https://liber.cnr.it/tablet/view/13,12
6,4,True,1,13,VOL X 2,https://liber.cnr.it/tablet/view/13,12
7,2,True,1,13,VOL X 2,https://liber.cnr.it/tablet/view/13,12
8,KE,True,1,13,VOL X 2,https://liber.cnr.it/tablet/view/13,12
9,M,True,1,13,VOL X 2,https://liber.cnr.it/tablet/view/13,12
10,10,True,1,13,VOL X 2,https://liber.cnr.it/tablet/view/13,12
11,*146,True,1,13,VOL X 2,https://liber.cnr.it/tablet/view/13,12
12,6,True,1,13,VOL X 2,https://liber.cnr.it/tablet/view/13,12
1,wi-pi-o,False,3,14,VOL X 2,https://liber.cnr.it/tablet/view/14,3
2,N,False,1,14,VOL X 2,https://liber.cnr.it/tablet/view/14,3
3,3,False,1,14,VOL X 2,https://liber.cnr.it/tablet/view/14,3
1,e,False,1,15,VOL X 2,https://liber.cnr.it/tablet/view/15,2
2,M,False,1,15,VOL X 2,https://liber.cnr.it/tablet/view/15,2
1,ku,False,1,16,VOL X 2,https://liber.cnr.it/tablet/view/16,1
1,ta,True,1,17,VOL X 2,https://liber.cnr.it/tablet/view/17,3
2,M,True,1,17,VOL X 2,https://liber.cnr.it/tablet/view/17,3
3,1,True,1,17,VOL X 2,https://liber.cnr.it/tablet/view/17,3
1,M,True,1,18,VOL X 2,https://liber.cnr.it/tablet/view/18,1
1,wa-ko,False,2,19,VOL X 2,https://liber.cnr.it/tablet/view/19,2
2,SA,False,1,19,VOL X 2,https://liber.cnr.it/tablet/view/19,2
1,M,True,1,20,VOL X 2,https://liber.cnr.it/tablet/view/20,2
2,1,True,1,20,VOL X 2,https://liber.cnr.it/tablet/view/20,2
1,M,False,1,21,VOL X 2,https://liber.cnr.it/tablet/view/21,2
2,1,False,1,21,VOL X 2,https://liber.cnr.it/tablet/view/21,2
1,M,True,1,22,VOL X 2,https://liber.cnr.it/tablet/view/22,1
1,M,True,1,23,VOL X 2,https://liber.cnr.it/tablet/view/23,2
2,1,True,1,23,VOL X 2,https://liber.cnr.it/tablet/view/23,2
1,jo,True,1,24,VOL X 2,https://liber.cnr.it/tablet/view/24,3
2,M,True,1,24,VOL X 2,https://liber.cnr.it/tablet/view/24,3
3,1,True,1,24,VOL X 2,https://liber.cnr.it/tablet/view/24,3
1,ta-jo,True,2,25,VOL X 2,https://liber.cnr.it/tablet/view/25,3
2,M,True,1,25,VOL X 2,https://liber.cnr.it/tablet/view/25,3
3,1,True,1,25,VOL X 2,https://liber.cnr.it/tablet/view/25,3
1,sa-na-so,False,3,26,VOL X 2,https://liber.cnr.it/tablet/view/26,1
1,jo,False,1,27,VOL X 2,https://liber.cnr.it/tablet/view/27,3
2,M,False,1,27,VOL X 2,https://liber.cnr.it/tablet/view/27,3
3,1,False,1,27,VOL X 2,https://liber.cnr.it/tablet/view/27,3
1,SA,True,1,28,VOL X 2,https://liber.cnr.it/tablet/view/28,2
2,M,True,1,28,VOL X 2,https://liber.cnr.it/tablet/view/28,2
1,du,False,1,29,VOL X 2,https://liber.cnr.it/tablet/view/29,1
1,ko-ri-jo,False,3,30,VOL X 2,https://liber.cnr.it/tablet/view/30,1
1,M,True,1,31,VOL X 2,https://liber.cnr.it/tablet/view/31,2
2,3,True,1,31,VOL X 2,https://liber.cnr.it/tablet/view/31,2
1,zo,False,1,32,VOL X 2,https://liber.cnr.it/tablet/view/32,3
2,M,False,1,32,VOL X 2,https://liber.cnr.it/tablet/view/32,3
3,3,False,1,32,VOL X 2,https://liber.cnr.it/tablet/view/32,3
1,e-si,False,2,33,VOL X 2,https://liber.cnr.it/tablet/view/33,2
2,o-pe,False,2,33,VOL X 2,https://liber.cnr.it/tablet/view/33,2
1,jo,True,1,34,VOL X 2,https://liber.cnr.it/tablet/view/34,2
2,i-we,True,2,34,VOL X 2,https://liber.cnr.it/tablet/view/34,2
1,M,False,1,35,VOL X 2,https://liber.cnr.it/tablet/view/35,2
2,1,False,1,35,VOL X 2,https://liber.cnr.it/tablet/view/35,2
1,ro,False,1,36,VOL X 2,https://liber.cnr.it/tablet/view/36,1
1,e,False,1,37,VOL X 2,https://liber.cnr.it/tablet/view/37,1
1,e-ri,False,2,38,VOL X 2,https://liber.cnr.it/tablet/view/38,1
1,[?]-jo,False,2,39,VOL X 2,https://liber.cnr.it/tablet/view/39,1
1,no-ro,False,2,40,VOL X 2,https://liber.cnr.it/tablet/view/40,1
1,ra-ma,False,2,41,VOL X 2,https://liber.cnr.it/tablet/view/41,1
1,te-we,False,2,42,VOL X 2,https://liber.cnr.it/tablet/view/42,1
1,tu,False,1,43,VOL X 2,https://liber.cnr.it/tablet/view/43,1
1,M,True,1,44,VOL X 2,https://liber.cnr.it/tablet/view/44,1
1,M,True,1,45,VOL X 2,https://liber.cnr.it/tablet/view/45,2
2,1,True,1,45,VOL X 2,https://liber.cnr.it/tablet/view/45,2
1,M,False,1,46,VOL X 2,https://liber.cnr.it/tablet/view/46,2
2,1,False,1,46,VOL X 2,https://liber.cnr.it/tablet/view/46,2
1,M,False,1,47,VOL X 2,https://liber.cnr.it/tablet/view/47,1
1,ja,False,1,48,VOL X 2,https://liber.cnr.it/tablet/view/48,1
1,1,False,1,49,VOL X 2,https://liber.cnr.it/tablet/view/49,1
1,ka,False,1,50,VOL X 2,https://liber.cnr.it/tablet/view/50,1
1,ku,False,1,51,VOL X 2,https://liber.cnr.it/tablet/view/51,1
1,ra-ro,False,2,52,VOL X 2,https://liber.cnr.it/tablet/view/52,1
1,M,True,1,53,VOL X 2,https://liber.cnr.it/tablet/view/53,1
1,ja,False,1,54,VOL X 2,https://liber.cnr.it/tablet/view/54,1
1,de,False,1,55,VOL X 2,https://liber.cnr.it/tablet/view/55,1
1,M,False,1,56,VOL X 2,https://liber.cnr.it/tablet/view/56,1
1,M,False,1,57,VOL X 2,https://liber.cnr.it/tablet/view/57,1
1,qa,False,1,58,VOL X 2,https://liber.cnr.it/tablet/view/58,1
1,ka-ta-ra,True,3,59,VOL X 2,https://liber.cnr.it/tablet/view/59,4
2,CROC,True,1,59,VOL X 2,https://liber.cnr.it/tablet/view/59,4
3,QI,True,1,59,VOL X 2,https://liber.cnr.it/tablet/view/59,4
4,6,True,1,59,VOL X 2,https://liber.cnr.it/tablet/view/59,4
1,sa-ma-da,False,3,60,VOL X 2,https://liber.cnr.it/tablet/view/60,3
2,CROC,False,1,60,VOL X 2,https://liber.cnr.it/tablet/view/60,3
3,RO,False,1,60,VOL X 2,https://liber.cnr.it/tablet/view/60,3
1,to,True,1,61,VOL X 2,https://liber.cnr.it/tablet/view/61,4
2,CROC,True,1,61,VOL X 2,https://liber.cnr.it/tablet/view/61,4
3,RO,True,1,61,VOL X 2,https://liber.cnr.it/tablet/view/61,4
4,1,True,1,61,VOL X 2,https://liber.cnr.it/tablet/view/61,4
1,ni-ja,True,2,62,VOL X 2,https://liber.cnr.it/tablet/view/62,2
2,CROC,True,1,62,VOL X 2,https://liber.cnr.it/tablet/view/62,2
1,ja,True,1,63,VOL X 2,https://liber.cnr.it/tablet/view/63,6
2,CROC,True,1,63,VOL X 2,https://liber.cnr.it/tablet/view/63,6
3,P,True,1,63,VOL X 2,https://liber.cnr.it/tablet/view/63,6
4,2,True,1,63,VOL X 2,https://liber.cnr.it/tablet/view/63,6
5,QI,True,1,63,VOL X 2,https://liber.cnr.it/tablet/view/63,6
6,4,True,1,63,VOL X 2,https://liber.cnr.it/tablet/view/63,6
1,re,True,1,64,VOL X 2,https://liber.cnr.it/tablet/view/64,6
2,CROC,True,1,64,VOL X 2,https://liber.cnr.it/tablet/view/64,6
3,RO,True,1,64,VOL X 2,https://liber.cnr.it/tablet/view/64,6
4,1,True,1,64,VOL X 2,https://liber.cnr.it/tablet/view/64,6
5,QI,True,1,64,VOL X 2,https://liber.cnr.it/tablet/view/64,6
6,1,True,1,64,VOL X 2,https://liber.cnr.it/tablet/view/64,6
1,da-wo,True,2,65,VOL X 2,https://liber.cnr.it/tablet/view/65,4
2,CROC,True,1,65,VOL X 2,https://liber.cnr.it/tablet/view/65,4
3,Q,True,1,65,VOL X 2,https://liber.cnr.it/tablet/view/65,4
4,1,True,1,65,VOL X 2,https://liber.cnr.it/tablet/view/65,4
1,ti-ja-no,False,3,66,VOL X 2,https://liber.cnr.it/tablet/view/66,4
2,CROC,False,1,66,VOL X 2,https://liber.cnr.it/tablet/view/66,4
3,P,False,1,66,VOL X 2,https://liber.cnr.it/tablet/view/66,4
4,5,False,1,66,VOL X 2,https://liber.cnr.it/tablet/view/66,4
1,CROC,True,1,67,VOL X 2,https://liber.cnr.it/tablet/view/67,5
2,N,True,1,67,VOL X 2,https://liber.cnr.it/tablet/view/67,5
3,1,True,1,67,VOL X 2,https://liber.cnr.it/tablet/view/67,5
4,P,True,1,67,VOL X 2,https://liber.cnr.it/tablet/view/67,5
5,1,True,1,67,VOL X 2,https://liber.cnr.it/tablet/view/67,5
1,so,False,1,68,VOL X 2,https://liber.cnr.it/tablet/view/68,2
2,CROC,False,1,68,VOL X 2,https://liber.cnr.it/tablet/view/68,2
1,CROC,True,1,69,VOL X 2,https://liber.cnr.it/tablet/view/69,3
2,QI,True,1,69,VOL X 2,https://liber.cnr.it/tablet/view/69,3
3,4,True,1,69,VOL X 2,https://liber.cnr.it/tablet/view/69,3
1,CROC,True,1,71,VOL X 2,https://liber.cnr.it/tablet/view/71,3
2,P,True,1,71,VOL X 2,https://liber.cnr.it/tablet/view/71,3
3,2,True,1,71,VOL X 2,https://liber.cnr.it/tablet/view/71,3
1,a-u-ta-na,False,4,72,VOL X 2,https://liber.cnr.it/tablet/view/72,4
2,da-na-pi,False,3,72,VOL X 2,https://liber.cnr.it/tablet/view/72,4
3,CROC,False,1,72,VOL X 2,https://liber.cnr.it/tablet/view/72,4
4,N,False,1,72,VOL X 2,https://liber.cnr.it/tablet/view/72,4
1,jo-zo,False,2,73,VOL X 2,https://liber.cnr.it/tablet/view/73,7
2,CROC,False,1,73,VOL X 2,https://liber.cnr.it/tablet/view/73,7
3,P,False,1,73,VOL X 2,https://liber.cnr.it/tablet/view/73,7
4,3,False,1,73,VOL X 2,https://liber.cnr.it/tablet/view/73,7
5,o,False,1,73,VOL X 2,https://liber.cnr.it/tablet/view/73,7
6,P,False,1,73,VOL X 2,https://liber.cnr.it/tablet/view/73,7
7,6,False,1,73,VOL X 2,https://liber.cnr.it/tablet/view/73,7
1,nu-po,True,2,74,VOL X 2,https://liber.cnr.it/tablet/view/74,5
2,a-nu-ko,True,3,74,VOL X 2,https://liber.cnr.it/tablet/view/74,5
3,CROC,True,1,74,VOL X 2,https://liber.cnr.it/tablet/view/74,5
4,N,True,1,74,VOL X 2,https://liber.cnr.it/tablet/view/74,5
5,1,True,1,74,VOL X 2,https://liber.cnr.it/tablet/view/74,5
1,jo,True,1,75,VOL X 2,https://liber.cnr.it/tablet/view/75,3
2,sa-ma-ri-jo,True,4,75,VOL X 2,https://liber.cnr.it/tablet/view/75,3
3,CROC,True,1,75,VOL X 2,https://liber.cnr.it/tablet/view/75,3
1,ma-ki-nu-wo,True,4,76,VOL X 2,https://liber.cnr.it/tablet/view/76,2
2,CROC,True,1,76,VOL X 2,https://liber.cnr.it/tablet/view/76,2
1,wo,True,1,77,VOL X 2,https://liber.cnr.it/tablet/view/77,5
2,CROC,True,1,77,VOL X 2,https://liber.cnr.it/tablet/view/77,5
3,P,True,1,77,VOL X 2,https://liber.cnr.it/tablet/view/77,5
4,9,True,1,77,VOL X 2,https://liber.cnr.it/tablet/view/77,5
5,o,True,1,77,VOL X 2,https://liber.cnr.it/tablet/view/77,5
1,CROC,True,1,78,VOL X 2,https://liber.cnr.it/tablet/view/78,6
2,P,True,1,78,VOL X 2,https://liber.cnr.it/tablet/view/78,6
3,4,True,1,78,VOL X 2,https://liber.cnr.it/tablet/view/78,6
4,o,True,1,78,VOL X 2,https://liber.cnr.it/tablet/view/78,6
5,P,True,1,78,VOL X 2,https://liber.cnr.it/tablet/view/78,6
6,8,True,1,78,VOL X 2,https://liber.cnr.it/tablet/view/78,6
1,ro,True,1,79,VOL X 2,https://liber.cnr.it/tablet/view/79,4
2,CROC,True,1,79,VOL X 2,https://liber.cnr.it/tablet/view/79,4
3,N,True,1,79,VOL X 2,https://liber.cnr.it/tablet/view/79,4
4,1,True,1,79,VOL X 2,https://liber.cnr.it/tablet/view/79,4
1,si-du-wo,False,3,80,VOL X 2,https://liber.cnr.it/tablet/view/80,3
2,CROC,False,1,80,VOL X 2,https://liber.cnr.it/tablet/view/80,3
3,N,False,1,80,VOL X 2,https://liber.cnr.it/tablet/view/80,3
1,CROC,True,1,81,VOL X 2,https://liber.cnr.it/tablet/view/81,3
2,N,True,1,81,VOL X 2,https://liber.cnr.it/tablet/view/81,3
3,1,True,1,81,VOL X 2,https://liber.cnr.it/tablet/view/81,3
1,o,False,1,82,VOL X 2,https://liber.cnr.it/tablet/view/82,3
2,P,False,1,82,VOL X 2,https://liber.cnr.it/tablet/view/82,3
3,10,False,1,82,VOL X 2,https://liber.cnr.it/tablet/view/82,3
1,qa-sa-ro-we,False,4,83,VOL X 2,https://liber.cnr.it/tablet/view/83,4
2,CROC,False,1,83,VOL X 2,https://liber.cnr.it/tablet/view/83,4
3,P,False,1,83,VOL X 2,https://liber.cnr.it/tablet/view/83,4
4,1,False,1,83,VOL X 2,https://liber.cnr.it/tablet/view/83,4
1,jo,False,1,84,VOL X 2,https://liber.cnr.it/tablet/view/84,5
2,tu-qa-ni-ja-so,False,5,84,VOL X 2,https://liber.cnr.it/tablet/view/84,5
3,CROC,False,1,84,VOL X 2,https://liber.cnr.it/tablet/view/84,5
4,N,False,1,84,VOL X 2,https://liber.cnr.it/tablet/view/84,5
5,1,False,1,84,VOL X 2,https://liber.cnr.it/tablet/view/84,5
1,e-u-na-wo,True,4,85,VOL X 2,https://liber.cnr.it/tablet/view/85,4
2,CROC,True,1,85,VOL X 2,https://liber.cnr.it/tablet/view/85,4
3,N,True,1,85,VOL X 2,https://liber.cnr.it/tablet/view/85,4
4,1,True,1,85,VOL X 2,https://liber.cnr.it/tablet/view/85,4
1,P,True,1,86,VOL X 2,https://liber.cnr.it/tablet/view/86,2
2,7,True,1,86,VOL X 2,https://liber.cnr.it/tablet/view/86,2
1,CROC,True,1,87,VOL X 2,https://liber.cnr.it/tablet/view/87,3
2,N,True,1,87,VOL X 2,https://liber.cnr.it/tablet/view/87,3
3,1,True,1,87,VOL X 2,https://liber.cnr.it/tablet/view/87,3
1,CROC,False,1,88,VOL X 2,https://liber.cnr.it/tablet/view/88,1
1,CROC,True,1,89,VOL X 2,https://liber.cnr.it/tablet/view/89,3
2,N,True,1,89,VOL X 2,https://liber.cnr.it/tablet/view/89,3
3,1,True,1,89,VOL X 2,https://liber.cnr.it/tablet/view/89,3
1,CROC,False,1,90,VOL X 2,https://liber.cnr.it/tablet/view/90,2
2,P,False,1,90,VOL X 2,https://liber.cnr.it/tablet/view/90,2
1,CROC,False,1,91,VOL X 2,https://liber.cnr.it/tablet/view/91,1
1,ra,False,1,92,VOL X 2,https://liber.cnr.it/tablet/view/92,2
2,CROC,False,1,92,VOL X 2,https://liber.cnr.it/tablet/view/92,2
1,wa-to,False,2,93,VOL X 2,https://liber.cnr.it/tablet/view/93,9
2,CROC,False,1,93,VOL X 2,https://liber.cnr.it/tablet/view/93,9
3,N,False,1,93,VOL X 2,https://liber.cnr.it/tablet/view/93,9
4,2,False,1,93,VOL X 2,https://liber.cnr.it/tablet/view/93,9
5,separatum,False,1,93,VOL X 2,https://liber.cnr.it/tablet/view/93,9
6,ri-no,False,2,93,VOL X 2,https://liber.cnr.it/tablet/view/93,9
7,M,False,1,93,VOL X 2,https://liber.cnr.it/tablet/view/93,9
8,P,False,1,93,VOL X 2,https://liber.cnr.it/tablet/view/93,9
9,2,False,1,93,VOL X 2,https://liber.cnr.it/tablet/view/93,9
1,CROC,False,1,94,VOL X 2,https://liber.cnr.it/tablet/view/94,1
1,CROC,True,1,95,VOL X 2,https://liber.cnr.it/tablet/view/95,3
2,N,True,1,95,VOL X 2,https://liber.cnr.it/tablet/view/95,3
3,1,True,1,95,VOL X 2,https://liber.cnr.it/tablet/view/95,3
1,2,True,1,96,VOL X 2,https://liber.cnr.it/tablet/view/96,3
2,P,True,1,96,VOL X 2,https://liber.cnr.it/tablet/view/96,3
3,1,True,1,96,VOL X 2,https://liber.cnr.it/tablet/view/96,3
1,CROC,True,1,97,VOL X 2,https://liber.cnr.it/tablet/view/97,2
2,P,True,1,97,VOL X 2,https://liber.cnr.it/tablet/view/97,2
1,o,False,1,98,VOL X 2,https://liber.cnr.it/tablet/view/98,3
2,P,False,1,98,VOL X 2,https://liber.cnr.it/tablet/view/98,3
3,1,False,1,98,VOL X 2,https://liber.cnr.it/tablet/view/98,3
1,RO,True,1,99,VOL X 2,https://liber.cnr.it/tablet/view/99,4
2,1,True,1,99,VOL X 2,https://liber.cnr.it/tablet/view/99,4
3,Q,True,1,99,VOL X 2,https://liber.cnr.it/tablet/view/99,4
4,1,True,1,99,VOL X 2,https://liber.cnr.it/tablet/view/99,4
1,ra-to,False,2,101,VOL X 2,https://liber.cnr.it/tablet/view/101,1
1,N,True,1,102,VOL X 2,https://liber.cnr.it/tablet/view/102,2
2,1,True,1,102,VOL X 2,https://liber.cnr.it/tablet/view/102,2
1,N,True,1,103,VOL X 2,https://liber.cnr.it/tablet/view/103,3
2,2,True,1,103,VOL X 2,https://liber.cnr.it/tablet/view/103,3
3,separatum,True,1,103,VOL X 2,https://liber.cnr.it/tablet/view/103,3
1,P,True,1,104,VOL X 2,https://liber.cnr.it/tablet/view/104,2
2,2,True,1,104,VOL X 2,https://liber.cnr.it/tablet/view/104,2
1,2,True,1,105,VOL X 2,https://liber.cnr.it/tablet/view/105,3
2,P,True,1,105,VOL X 2,https://liber.cnr.it/tablet/view/105,3
3,1,True,1,105,VOL X 2,https://liber.cnr.it/tablet/view/105,3
1,CROC,False,1,106,VOL X 2,https://liber.cnr.it/tablet/view/106,2
2,N,False,1,106,VOL X 2,https://liber.cnr.it/tablet/view/106,2
1,CROC,False,1,107,VOL X 2,https://liber.cnr.it/tablet/view/107,1
1,P,False,1,108,VOL X 2,https://liber.cnr.it/tablet/view/108,2
2,10,False,1,108,VOL X 2,https://liber.cnr.it/tablet/view/108,2
1,jo,False,1,109,VOL X 2,https://liber.cnr.it/tablet/view/109,2
2,CROC,False,1,109,VOL X 2,https://liber.cnr.it/tablet/view/109,2
1,CROC,False,1,110,VOL X 2,https://liber.cnr.it/tablet/view/110,2
2,P,False,1,110,VOL X 2,https://liber.cnr.it/tablet/view/110,2
1,P,False,1,111,VOL X 2,https://liber.cnr.it/tablet/view/111,1
1,P,True,1,113,VOL X 2,https://liber.cnr.it/tablet/view/113,2
2,2,True,1,113,VOL X 2,https://liber.cnr.it/tablet/view/113,2
1,CROC,False,1,114,VOL X 2,https://liber.cnr.it/tablet/view/114,1
1,P,True,1,115,VOL X 2,https://liber.cnr.it/tablet/view/115,2
2,1,True,1,115,VOL X 2,https://liber.cnr.it/tablet/view/115,2
1,CROC,False,1,117,VOL X 2,https://liber.cnr.it/tablet/view/117,1
1,o,False,1,118,VOL X 2,https://liber.cnr.it/tablet/view/118,3
2,P,False,1,118,VOL X 2,https://liber.cnr.it/tablet/view/118,3
3,10,False,1,118,VOL X 2,https://liber.cnr.it/tablet/view/118,3
1,*167,True,1,119,VOL X 2,https://liber.cnr.it/tablet/view/119,6
2,60,True,1,119,VOL X 2,https://liber.cnr.it/tablet/view/119,6
3,L,True,1,119,VOL X 2,https://liber.cnr.it/tablet/view/119,6
4,52,True,1,119,VOL X 2,https://liber.cnr.it/tablet/view/119,6
5,M,True,1,119,VOL X 2,https://liber.cnr.it/tablet/view/119,6
6,2,True,1,119,VOL X 2,https://liber.cnr.it/tablet/view/119,6
1,L,False,1,120,VOL X 2,https://liber.cnr.it/tablet/view/120,1
1,re-o,False,2,121,VOL X 2,https://liber.cnr.it/tablet/view/121,2
2,L,False,1,121,VOL X 2,https://liber.cnr.it/tablet/view/121,2
1,*167+PE,False,1,122,VOL X 2,https://liber.cnr.it/tablet/view/122,4
2,10,False,1,122,VOL X 2,https://liber.cnr.it/tablet/view/122,4
3,L,False,1,122,VOL X 2,https://liber.cnr.it/tablet/view/122,4
4,6,False,1,122,VOL X 2,https://liber.cnr.it/tablet/view/122,4
1,jo,False,1,123,VOL X 2,https://liber.cnr.it/tablet/view/123,3
2,AES,False,1,123,VOL X 2,https://liber.cnr.it/tablet/view/123,3
3,*167+PE,False,1,123,VOL X 2,https://liber.cnr.it/tablet/view/123,3
1,a-ka,False,2,124,VOL X 2,https://liber.cnr.it/tablet/view/124,8
2,jo-jo,False,2,124,VOL X 2,https://liber.cnr.it/tablet/view/124,8
3,me-no,False,2,124,VOL X 2,https://liber.cnr.it/tablet/view/124,8
4,da-pu₂-ri-to-jo,False,5,124,VOL X 2,https://liber.cnr.it/tablet/view/124,8
5,po-ti-ni-ja,False,4,124,VOL X 2,https://liber.cnr.it/tablet/view/124,8
6,ri,False,1,124,VOL X 2,https://liber.cnr.it/tablet/view/124,8
7,*166+WE,False,1,124,VOL X 2,https://liber.cnr.it/tablet/view/124,8
8,22,False,1,124,VOL X 2,https://liber.cnr.it/tablet/view/124,8
1,*166+WE,True,1,125,VOL X 2,https://liber.cnr.it/tablet/view/125,5
2,18,True,1,125,VOL X 2,https://liber.cnr.it/tablet/view/125,5
3,e-to-ro-qa-ta,True,5,125,VOL X 2,https://liber.cnr.it/tablet/view/125,5
4,16,True,1,125,VOL X 2,https://liber.cnr.it/tablet/view/125,5
5,separatum,True,1,125,VOL X 2,https://liber.cnr.it/tablet/view/125,5
1,*166+WE,True,1,126,VOL X 2,https://liber.cnr.it/tablet/view/126,2
2,1,True,1,126,VOL X 2,https://liber.cnr.it/tablet/view/126,2
1,ko-ro-to,True,3,127,VOL X 2,https://liber.cnr.it/tablet/view/127,3
2,o-nu-ka,True,3,127,VOL X 2,https://liber.cnr.it/tablet/view/127,3
3,LANA,True,1,127,VOL X 2,https://liber.cnr.it/tablet/view/127,3
1,ko-ro-to,False,3,128,VOL X 2,https://liber.cnr.it/tablet/view/128,2
2,ta-ma,False,2,128,VOL X 2,https://liber.cnr.it/tablet/view/128,2
1,ko-ro-to,True,3,129,VOL X 2,https://liber.cnr.it/tablet/view/129,7
2,LANA,True,1,129,VOL X 2,https://liber.cnr.it/tablet/view/129,7
3,M,True,1,129,VOL X 2,https://liber.cnr.it/tablet/view/129,7
4,1,True,1,129,VOL X 2,https://liber.cnr.it/tablet/view/129,7
5,ka,True,1,129,VOL X 2,https://liber.cnr.it/tablet/view/129,7
6,LANA,True,1,129,VOL X 2,https://liber.cnr.it/tablet/view/129,7
7,2,True,1,129,VOL X 2,https://liber.cnr.it/tablet/view/129,7
1,pa-i-to,False,3,130,VOL X 2,https://liber.cnr.it/tablet/view/130,4
2,we-we-si-jo-jo,False,5,130,VOL X 2,https://liber.cnr.it/tablet/view/130,4
3,LANA,False,1,130,VOL X 2,https://liber.cnr.it/tablet/view/130,4
4,11,False,1,130,VOL X 2,https://liber.cnr.it/tablet/view/130,4
1,o-pi,False,2,131,VOL X 2,https://liber.cnr.it/tablet/view/131,4
2,ti-mu-nu-we,False,4,131,VOL X 2,https://liber.cnr.it/tablet/view/131,4
3,LANA,False,1,131,VOL X 2,https://liber.cnr.it/tablet/view/131,4
4,2,False,1,131,VOL X 2,https://liber.cnr.it/tablet/view/131,4
1,o-pi,True,2,132,VOL X 2,https://liber.cnr.it/tablet/view/132,15
2,no-nu-we,True,3,132,VOL X 2,https://liber.cnr.it/tablet/view/132,15
3,a-ti-pa-mo,True,4,132,VOL X 2,https://liber.cnr.it/tablet/view/132,15
4,pe-re,True,2,132,VOL X 2,https://liber.cnr.it/tablet/view/132,15
5,LANA,True,1,132,VOL X 2,https://liber.cnr.it/tablet/view/132,15
6,91,True,1,132,VOL X 2,https://liber.cnr.it/tablet/view/132,15
7,si-da-jo,True,3,132,VOL X 2,https://liber.cnr.it/tablet/view/132,15
8,pe-re,True,2,132,VOL X 2,https://liber.cnr.it/tablet/view/132,15
9,po-ro-to,True,3,132,VOL X 2,https://liber.cnr.it/tablet/view/132,15
10,LANA,True,1,132,VOL X 2,https://liber.cnr.it/tablet/view/132,15
11,42,True,1,132,VOL X 2,https://liber.cnr.it/tablet/view/132,15
12,a-po-te,True,3,132,VOL X 2,https://liber.cnr.it/tablet/view/132,15
13,pe-re,True,2,132,VOL X 2,https://liber.cnr.it/tablet/view/132,15
14,LANA,True,1,132,VOL X 2,https://liber.cnr.it/tablet/view/132,15
15,69,True,1,132,VOL X 2,https://liber.cnr.it/tablet/view/132,15
1,ri-jo-ni-jo,True,4,133,VOL X 2,https://liber.cnr.it/tablet/view/133,7
2,e-ze-to,True,3,133,VOL X 2,https://liber.cnr.it/tablet/view/133,7
3,to-ro-qo,True,3,133,VOL X 2,https://liber.cnr.it/tablet/view/133,7
4,a-to-mo-na,True,4,133,VOL X 2,https://liber.cnr.it/tablet/view/133,7
5,su-mo-no-qe,True,4,133,VOL X 2,https://liber.cnr.it/tablet/view/133,7
6,LANA,True,1,133,VOL X 2,https://liber.cnr.it/tablet/view/133,7
7,14,True,1,133,VOL X 2,https://liber.cnr.it/tablet/view/133,7
1,o,False,1,134,VOL X 2,https://liber.cnr.it/tablet/view/134,3
2,o-pi,False,2,134,VOL X 2,https://liber.cnr.it/tablet/view/134,3
3,ki-si,False,2,134,VOL X 2,https://liber.cnr.it/tablet/view/134,3
